Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
78,Country,Puerto Rico,pr042012-0,2012-11-06,,Alternativen zum jetzigen Status: Bundesstaat der USA,,,,,,,,,,2402941,,1878969,498604,16744,,,,,linked,,,834191,,0,,,,,,"",0,1363854,0,0,,Alternativen zum jetzigen Status: Bundesstaat der USA
79,Country,Puerto Rico,pr042012-1,2012-11-06,,Alternativen zum jetzigen Status: Unabhängigkeit,,,,,,,,,,2402941,,1878969,498604,16744,,,,,linked,,,74895,,0,,,,,,"",0,1363854,0,0,,Alternativen zum jetzigen Status: Bundesstaat der USA
80,Country,Puerto Rico,pr042012-2,2012-11-06,,Alternativen zum jetzigen Status: Freie Assoziation mit den USA,,,,,,,,,,2402941,,1878969,498604,16744,,,,,linked,,,454768,,0,,,,,,"",0,1363854,0,0,,Alternativen zum jetzigen Status: Bundesstaat der USA
81,Country,Virgin Islands  U.S.,vi012012,2012-11-06,,Verwendung von Industriehanf,,,,,,,,,,49886,,28643,,,4559,3374,,,none,,,,,0,,,,,,"",0,7933,57.47,42.53,yes,no
82,Country,Iceland,is012012,2012-10-20,,Entwurf der Verfassungskommission als Grundlage einer neuen Verfassung,,,,,,,,,,236911,,114570,661,838,72509,36302,,,none,,,,,0,,,,,,"",0,108811,66.64,33.36,yes,no
83,Country,Iceland,is022012,2012-10-20,,Bodenschätze als öffentliches Eigentum,,,,,,,,,,236911,,114570,661,838,84760,17470,,,none,,,,,0,,,,,,"",0,102230,82.91,17.09,yes,no
84,Country,Iceland,is032012,2012-10-20,,Stellung der Staatskirche,,,,,,,,,,236911,,114570,661,838,58455,43914,,,none,,,,,0,,,,,,"",0,102369,57.1,42.9,yes,no
85,Country,Iceland,is042012,2012-10-20,,Bessere Wahlmöglichkeit für Einzelpersonen,,,,,,,,,,236911,,114570,661,838,78451,21660,,,none,,,,,0,,,,,,"",0,100111,78.36,21.64,yes,no
86,Country,Iceland,is052012,2012-10-20,,Gleiches Gewicht für jede Stimme,,,,,,,,,,236911,,114570,661,838,66653,33590,,,none,,,,,0,,,,,,"",0,100243,66.49,33.51,yes,no
87,Country,Iceland,is062012,2012-10-20,,Einführung der Volksinitiative,,,,,,,,,,236911,,114570,661,838,72633,26440,,,none,,,,,0,,,,,,"",0,99073,73.31,26.69,yes,no
88,Country,Lithuania,lt012012,2012-10-14,Parliamentary consultative plebiscite on the Building of a new nuclear power plant «Visaginas»,Bau eines neuen Kernkraftwerks,,,,,,,,,,2588418,,1361082,,,463966,853163,,,none,,,,,,Parliamentary plebiscite (consultative),,,,,"none | none | none",52.58,1317129,35.23,64.77,no,
89,Country,Switzerland,563,2012-09-23,Federal decree on the promotion of music for young people (Counter-proposal to the withdrawn citizens' initiative «youth + music»),Bundesbeschluss über die Jungedmusikförderung (Gegenentwurf zur zurückgezogenen Volksinitiative «jugend + musik»,,,156,31,8,31,6,6,Acceptance,5160811,132102,2188758,46630,6852,1552045,583231,23,0,none,,,,,,Constitutional Referendum (Counter-draft),,,Befürworter-Komitee mit Vertreter aller Parteien,Auslöser für den Artikel war die Musikinitiative  die von Profi- und Laienverbänder der Musik getragen wird. Das Parlament hat die Initiative fast wörtlich übernommen  mit der Einschränkung  dass primär die Kantone für Musikunterricht zuständig sind. Der Bund darf erst eingreifen  wenn die Kantone die Vorgaben nicht erfüllen. Aufgrund des Entgegenkommens des Parlaments  haben die Initianten ihr Begehren zurückgezogen.,"Education and research | Education policy | Children and young people",42.41,2135276,72.69,27.31,yes,
90,Country,Switzerland,564,2012-09-23,Citizens' initiative of 23.01.2009 «Safe housing for the elderly»,Eidegenössische Volksinitiative vom 23.07.2009 «Sicheres Wohnen im Alter»,,,77,119,1,6,36,1,Rejection,5160811,132102,2194727,48172,7044,1014016,1125495,9.5,13.5,none,,,,,,Initiative (Formulated Draft),,,Hauseigentümerverband HEV  www.sicheres-wohnen.ch Wird auch von der SVP unterstützt,Die Initiative will den Besitzern von selbst genutzten Häusern und Wohnungen ermöglichen  sich im Rentenalter vom Eigenmietwert zu befreien.,"Direct taxation | Building of residential housing, property ownership | Senior citizens",42.53,2139511,47.39,52.61,no,
91,Country,Switzerland,565,2012-09-23,Citizens' initiative of 18 May 2010 «Protection from exposure to tobacco smoke»,Volksintiative vom 18. Mai 2010 «Schutz vor Passivrauchen»,,,52,138,4,7,28,7,Rejection,5160811,132102,2209395,23580,6625,741205,1437985,1,22,none,,,,,,Initiative (Formulated Draft),,,Lanciert durch: Lungenliga  www.rauchfrei-ja.ch Initiative wird unterstützt auch von den Ärzteverbindungen   FMH  Drogistenverband  Krebsliga  Suchtvebände  Gewerkschaftsbund Travailsuisse sowie Stiftung Konsumentenschutz und linke Parteien.,Die Initianten wollen in der ganzen Schweiz ein strengeres Rauchverbot in öffentlichen Räumen und Restaurants einführen.,"Health policy | Addictive substances | Employment conditions",42.81,2179190,34.01,65.99,no,
92,Country,Puerto Rico,pr012012,2012-08-19,,Verkleinerung des Parlaments,,,,,,,,,,Not known,,818947,4551,2858,371042,440453,,,none,,,,,0,,,,,,"",0,811495,45.8,54.2,no,
93,Country,Puerto Rico,pr022012,2012-08-19,,Erschwerte Freilassung auf Kaution bei bestimmten Verbrechen,,,,,,,,,,Not known,,818947,3602,2769,364169,448272,,,none,,,,,0,,,,,,"",0,812441,45,55,no,
94,Country,Romania,ro012012,2012-07-29,,Absetzung von Staatspräsident Basescu,,,,,,,,,,18292464,,8459053,,,7403836,943375,,,none,,,,,0,,,,,,"",0,8347211,88.7,11.3,yes,no
95,Country,Cayman Islands,ky012012,2012-07-18,Introduction of single-member constituencies,Wahl in Einerwahlkreisen,,,,,,,,,,15161,,8677,,,5631,3001,,,none,,,,,,Parliamentary plebiscite (consultative),,,,Parliament of the Cayman Islands was elected in multi-member districts. The governing UDP promises to hold a referendum on the introduction together with the next elections in May 2013. A citizens' initiative wants an earlier vote for the new electoral system to be ready for the upcoming elections and is thus collecting signatures. When they were close to the quorum with 3'000 of 3'800 required signatures (25% of electorate) the UDP decides to act 11 April 2012 and votes on the respective bill in Parliament 10 May 2012. Parliamentary referendum according to article 69 of the Constitution. In article 4 the law specifies that a majority is only binding when the majority of the electorate. The majority of the valid votes of 65 23% is thus not binding for the government. The ballot boxes were open from 7 am to 6 pm. Question asked:  "Do you support an electoral system of single-member constituencies with each elector being entitled to cast only one vote?"    Participation   Yes    No   not valid -------------------------------------------------------- George Town             3'367   2'360     993        14 West Bay                2'094   1'027   1'053        14 Bodden Town             2'021   1'396     617         8 East End                  337     257      79         1 North Side                397     335      56         6 Cayman Brac &             461     256     203         2 Little Cayman ------------------------------------------------------- TOTAL                   8'677   5'631   3'001        45 -------------------------------------------------------,"State organisation | Legislative procedure | Electoral system",57.23,8632,65.23,34.77,yes,
96,Country,Liechtenstein,li012012,2012-07-01,,Vermindertes Vetorecht des Fürsten,,,,,,,,,,19076,,15807,25,499,3602,11681,,,none,,,,,0,,,,,,"",0,15283,23.57,76.43,no,
97,Country,Switzerland,560,2012-06-17,Citizens' initiative «Own four walls thanks to building savings»,Volksinitiative «Eigene vier Wände dank Bausparen»,,,98,72,Not known,16,24,Not known,Rejection,5149086,131074,1984038,44095,5655,601449,1332839,0,23,none,,,,,,Initiative (Formulated Draft),,,Hauseigentümerverband HEV www.bausparen-Ja.ch,,"Housing | Building of residential housing, property ownership | Tax policy",38.53,1934288,31.09,68.91,no,
98,Country,Switzerland,561,2012-06-17,Citizens' initiative of 11 August 2009 «For strengthening the popular rights on foreign policy (submittal of state treaties to the people!)»,Volksinitiative vom 11.08.2009 «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!),,,56,139,1,6,36,1,Rejection,5149086,131074,1983704,35344,5528,480173,1462659,0,23,none,,,,,,Initiative (Formulated Draft),,,Aktion für eine unabhängige und neutrale Schweiz (AUNS) www.staatsverträge.ch,,"Citizens' rights | Referendum | Foreign policy",38.53,1942832,24.72,75.28,no,
99,Country,Switzerland,562,2012-06-17,Ammendment on 30.09.2011 of the federal law on the health insurance (KVG) (Managed Care),Änderung vom 30.09.2011 des Bundesgesetzes über die Krankenversicherung (KVG) (Managed Care),,,133,46,17,28,6,10,Acceptance,5149086,131074,1990232,35211,5492,466993,1482536,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Es ist an sich ein überparteiliches Komitee. Gegen die Vorlage sind SP  SVP und BDP sowie Vereinigungen der Spezialärzte und die Ärzteverbindung FMH,,"Health policy | Social security | Health and accident insurance",38.65,1949529,23.95,76.05,no,
100,Country,Ireland,ie012012,2012-05-31,Treaty on Stability  Coordination and Governance in the Economic and Monetary Union,Vertrag über Stabilität in der Wirtschafts- und Währungsunion,,,,,,,,,,3144828,,1591385,,,955091,629088,,,none,,,,,,Mandatory Constitutional Referendum,,,,In the course of the European financial crisis  25 of the 27 EU states (except for Great Britain and The Czech Republic) concluded a Treaty on 2 March 2012  in order to guarantee the financial and economic stability of the Member states. As not all the EU member states participated  this Treaty stands outside of the EU legislation. As the Treaty restricts the budgetary sovereignty of the participating states  this entailed an implicit constitutional amendment for Ireland.  For this reason the goverment submitted the draft to the Prosecutor General on 28 February 2012 for her assessment  as otherwise the opposition would have called the constitutional court. On 27 March 2012  the government suggested the voting date. The Dáil (parliament) adopted the constitutional amendments by 93:21 on 20 April 2012. Final official result of 1 June 2012. Mandatory constitutional referendum according to art. 46 of the Constitution.,"Foreign policy | European policy | none",50.6,1584179,60.29,39.71,yes,
101,Country,Slovenia,si012012,2012-03-25,Family Code,Familienrecht,,,,,,,,,,1709417,,518073,,,233255,279925,,,none,,,,,0,Optional Legislative Referendum,,,,Although the revised version of the Family Code of 1976 originally provided for the full equality of homosexual couples  protests from religious groups pressured the National Assembly to restrict adoptions by homosexuals to their own children (stepchildren). The Assembly passed the Law on 16 June 2011 by 53:38. Hereon the "Citizens' Initiative for Family and Children Rights"  intending to prevent any adoption by homosexuals  submitted signatures on 22 June 2011 (quorum 2 500) so as to launch a referendum against the Law. Already on 2 September 2011  the day after the initiation of the collection of the signatures  the National Assembly lodged a complaint to the Constitutional Court by 46:35  alleging the violation of fundamental human rights by the referendum. Obliged to pass a decision within 30 days  the Constitutional Court only rejected the complaint on 27 December 2011 by 4:5. Thereupon  the collection of signatures was resumed on 3 January 2012 and one month later 42 089 signatures were submitted  after a last attempt of the Citizens' initiative to improve the law according to their purport. On 10 February 2012  the National Assembly decided on the voting date. Optional legislative referendum pursuant to Art. 90 par. 2 of the Constitution. The initiation necessitates 40 000 signatures. The polling stations were opened from 7 a.m. until 7 p.m. The final official result was published on 12 April 2012.,"State organisation | Legal system | Fundamental rights",30.31,513180,45.45,54.55,no,
102,Country,Switzerland,558,2012-03-11,Federal decree of 29 September 2011 on the Regulation of gamblings in favour of charitable purposes (Counter-proposal to the citizen's initiative 'For Gamblings in favour of public weal'),Bundesbeschluss vom 29. September 2011 über die Regelung der Geldspiele zugunsten gemeinnütziger Zwecke (Gegenentwurf zur Volksinitiative 'Für Geldspiele im Dienste des Gemeinwohls'),,,140,3,0,34,0,0,Acceptance,5139055,129644,2300568,92758,7520,1916182,284108,23,0,none,,,,,,Constitutional Referendum (Counter-draft),,,,Der Beschluss ist ein Gegenentwurf zur zurückgezogenen Volksinitiative «für Geldspiele im Dienste des Gemeinwohls». Hinter der Initiative standen staatliche Anbieter von Glücksspielen sowie mehrere Kantone. Mit dem Anliegen wollten sie sicherstellen  dass die Erträge angesichts privater Konkurrenz im Internet weiterhin dem Staat zugutekommen.,"Lottery and gambling | Public finance | Consumer protection",44.77,2200290,87.09,12.91,yes,
103,Country,Switzerland,559,2012-03-11,Federal law of 18 March 2011 on controlled prices for books,Bundesgesetz 18.03.2011 über die Buchpreisbindung (BuPG),,,96,86,5,23,19,1,Acceptance,5139055,129644,2305239,96702,7682,966633,1234222,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Referendumskomitee: www.buchpreisbindung-nein.ch,,"Economic policy | Pricing policy | Cultural policy",44.86,2200855,43.92,56.08,no,
104,Country,Switzerland,555,2012-03-11,Citizen's initiative «To stop unconstrained building of secondary residences»,Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen»,,,61,123,3,10,29,3,Rejection,5139055,129644,2321951,38798,6753,1152598,1123802,13.5,9.5,none,,,,,,Initiative (Formulated Draft),,,- Fondation Franz Weber & Helevetia Nostra www.zweitwohnungsinitiative.ch,2011 ist das revidierte RPG in Kraft getreten  welches die Änderungen im Rahmen des indirketen Gegenvorschlags des Parlaments beinhaltet. Dieser fordert die Gemeinden und Kantone u.a. auf  ein ausgewogenes Verhältnis zwischen den Kategorien Erst- bzw Zweitwohnungen herzustellen. Eine Konkretisierung der beiden Kategorien fehlt jedoch.,"Environment and living space | Housing | Spatial planning",45.18,2276400,50.63,49.37,yes,
105,Country,Switzerland,556,2012-03-11,Citizen's Initiative «For fiscal incentives for first private residential property acquisation and for tax incentives for energy-saving and environmental impact limitation for residences»,Volksinitiative «Für ein steuerlich begünstigtes Bausparen zum Erwerb von selbst genutztem Wohneigentum und zur Finanzierung von baulichen Energiespar- und Umweltschutzmassnahmen (Bauspar-Initiative)»,,,98,62,8,16,24,Not known,Rejection,5139055,129644,2311923,86188,7637,980273,1237825,4.5,18.5,none,,,,,,Initiative (Formulated Draft),,,Die Initiative wurde von einem Komitee um den früheren Baselbieter FDP-Nationalrat Hans-Rudolf Gysin lanciert und getragen. Siehe auch Schweizerische Gesellschaft zur Förderung des Bausparens und www.bausparen.ch  ,Das Parlament hat zur «Bauspar-Initiative» keine Empfehlung beschlosse  da der Nationalrat und Ständerat sich nicht einigen konnten. Siehe Erklärungen im Dokument «Parliamentary-Delibration»,"Public finance | Tax policy | Budget cuts and remediation measures",44.99,2218098,44.19,55.81,no,
106,Country,Switzerland,557,2012-03-11,Citizen's Initiative «6 weeks holidays for all»,Volksinitiative «6 Wochen Ferien für alle»,,,61,122,2,10,32,0,Rejection,5139055,129644,2334005,23794,6508,771717,1531986,0,23,none,,,,,,Initiative (Formulated Draft),,,Die Initiative wurde vom Gewerkschaftsdachverband Travailsuisse lanciert. www.sechswochenferien.ch,,"Employment conditions | Working hours | Health",45.42,2303703,33.5,66.5,no,
107,Country,Belize,bz012012,2012-02-29,Oil exploration in protected sea areas,Ölförderung im Meer,,,,,,,,,,171405,,29194,,,799,28208,,,none,,,,,,Inofficial vote,,,,The government of Belize intended to allow oil explorations at the shore  but the "Belize Coalition to Save Our Natural Heritage" is opposed to out of environment protection reasons. From 14 February until 8 December 2011 it collected 20 160 signatures in order to submit the referendum proposal to popular vote together with the elections on 7 March 2012. According to Art. 2. 1 lit. b of the Referendum Act 2008  signatures of 1/10 of the electorate are required  thus 17 141. As only 12 113 signatures were valid  the necessary quorum was not reached. Thereupon the Initiative committee decided on 22 February 2012 to hold the vote on a private base. Having access to the voting registers  it could ensure that only enfranchised citizens participated in the vote. The number of enfranchised citizens refers to 1 February 2012  the day of the submittal of the proposal. The 51 ballot boxes were opened from 6 a.m. until 8 p.m. The final result was announced on 1 March 2012. With a turnout of 17%  the participation is very high for an inofficial vote. The compilation of results is incorrect. The Committee indicated 799 yes and 28 208 no votes  while 143 were invalid and 25 "lost".,"Energy | Oil and gas | none",17.03,29007,2.75,97.25,no,
108,Country,Syrian Arab Republic,sy012012,2012-02-26,Constitution,Verfassung,,,,,,,,,,14589954,,8376447,,,7490319,753208,,,none,,,,,,Presidential plebiscite  binding,,,,From mid-March 2011 demonstrations and local riots against President Assad and the Baath-Party  became frequent. On 15 October 2011 Assad convened a commission by Decree no. 33  which he assigned to elaborate a constitutional draft within four months. On 10 January 2012  Assad announced the holding of a popular vote on the new constitution. The commission presented the new constitution on 12 February and Assad scheduled the date of the popular vote by decree no. 85. The latter is held in the middle of a civil war. Biding presidential plebiscite according to Art. 112 of the Constitution. The final result was announced by the Ministry of the Interior on 27 February 2012 and Assad enforced the constitution on the following day.,"State organisation | Political system | Constitution",57.41,8243527,90.86,9.14,yes,
109,Country,Latvia,lv012012,2012-02-18,Russian as second official language,Russisch als zweite Amtssprache,,,,,,,,,,1545004,,1098593,,,273347,821722,,,none,,,,,,Constitutional Initiative,,,,On 9 September 2011  the association "Dzimt? valoda"  whose members are predominantly Russian-speaking Latvians  submitted 12 533 signatures (quorum 10 000) for a constitutional initiative for the revision of Arts. 4  18  21  101 and 104  aspiring to grant Russian the status as second official language. The collection took place from 1 until 30 November 2011 and according to the results of the Electoral Commission of 19 December 2011 187 378 signatures were cast (quorum 154 379). On 22 December 2011 the Saeima rejected the proposal by 0:60 and on 3 January 2012 the Electoral Commission scheduled the voting date. An attempt to elevate the status of Russian to the second official language failed already in June 2011  as the movement "13 January" could not collect the necessary 10 000. Contemporaneously nationalist parties collected signatures aiming at the amendment of Art. 112 of the constitution to allow only Latvian in public schools. Also this attempt failed as only 123 655 instead of the necessary 153 242 signatures were collected during the signature period from 11 May until 9 June 2011. Constitutional initiative according to Art. 78 and 79 of the constitution. The initiation requires signatures of one tenth of the electorate  and the approval of half of the enfranchised  thus 772 502. Even if the Saeima would have given its approval  a popular vote would have been inevitable as amendments of Art. 4 have to be submitted to popular vote pursuant to Art. 77. The polling stations were opened from 7 a.m. until 10 p.m. Final official result announced by the Electoral Commission on 23 February 2012. Therewith the absolute majority of the electorate explicitly rejected the initiative. With 71 10% the turnout is higher then in the parliamentary elections of 2010 (63 12%) and 2011 (42 88%).,"State organisation | Legal system | Fundamental rights",71.11,1095069,24.96,75.04,no,
